"No.","Time","Source","Destination","Protocol","Length","Info"
"69","0.641662","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=21938 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 70]"
"70","0.641662","57.144.115.32","192.168.2.22","TLSv1.2","1356","Application Data"
"71","0.641739","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=24632 Win=261 Len=0"
"72","0.642659","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=24632 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 74]"
"73","0.642659","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=26024 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 74]"
"74","0.642659","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"75","0.642659","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=28808 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 78]"
"76","0.642724","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=30200 Win=261 Len=0"
"77","0.643681","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=30200 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 78]"
"78","0.643681","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"79","0.643681","57.144.115.32","192.168.2.22","TLSv1.2","1387","Application Data"
"80","0.643681","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=34317 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 81]"
"81","0.643681","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"82","0.643681","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=37101 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 84]"
"83","0.643681","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=38493 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 84]"
"84","0.643681","57.144.115.32","192.168.2.22","TLSv1.2","1167","Application Data"
"85","0.643790","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=40998 Win=261 Len=0"
"86","0.644666","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=40998 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 87]"
"87","0.644666","57.144.115.32","192.168.2.22","TLSv1.2","1133","Application Data, Application Data"
"88","0.644712","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=43469 Win=261 Len=0"
"89","0.655203","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=43469 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 90]"
"90","0.655203","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"91","0.655291","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=46253 Win=261 Len=0"
"92","0.656211","57.144.115.32","192.168.2.22","TLSv1.2","1378","Application Data"
"93","0.656211","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=47577 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 95]"
"94","0.656211","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=48969 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 95]"
"95","0.656211","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"96","0.656211","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=51753 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 98]"
"97","0.656211","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=53145 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 98]"
"98","0.656211","57.144.115.32","192.168.2.22","TLSv1.2","1266","Application Data"
"99","0.656320","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=55749 Win=261 Len=0"
"100","0.657198","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=55749 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 102]"
"101","0.657198","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=57141 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 102]"
"102","0.657198","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"103","0.657198","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=59925 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 104]"
"104","0.657198","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"105","0.657198","57.144.115.32","192.168.2.22","TLSv1.2","1288","Application Data"
"106","0.657198","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=63943 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 109]"
"107","0.657283","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=65335 Win=261 Len=0"
"108","0.658712","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=65335 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 109]"
"109","0.658712","57.144.115.32","192.168.2.22","TLSv1.2","1356","Application Data"
"110","0.658712","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=68029 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 112]"
"111","0.658712","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=69421 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 112]"
"112","0.658712","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"113","0.658712","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=72205 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 115]"
"114","0.658712","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=73597 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 115]"
"115","0.658712","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"116","0.658828","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=76381 Win=261 Len=0"
"117","0.659707","57.144.115.32","192.168.2.22","TLSv1.2","1387","Application Data"
"118","0.659707","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=77714 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 119]"
"119","0.659707","57.144.115.32","192.168.2.22","TLSv1.2","1446","Application Data"
"120","0.659707","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=80498 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 122]"
"121","0.659707","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=81890 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 122]"
"122","0.659707","57.144.115.32","192.168.2.22","TLSv1.2","1167","Application Data"
"123","0.659793","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=84395 Win=261 Len=0"
"124","0.660704","57.144.115.32","192.168.2.22","TCP","1446","443  >  2198 [ACK] Seq=84395 Ack=33542 Win=2768 Len=1392 [TCP PDU reassembled in 125]"
"125","0.660704","57.144.115.32","192.168.2.22","TLSv1.2","888","Application Data, Application Data"
"126","0.660737","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=33542 Ack=86621 Win=261 Len=0"
"127","0.838053","192.168.2.1","239.255.255.250","IGMPv2","60","Membership Report group 239.255.255.250"
"128","0.847634","00:ff:ff:cc:11:10","Broadcast","0xfffa","95","Ethernet II"
"129","1.223907","52.1.111.67","192.168.2.22","TLSv1.2","100","Application Data"
"130","1.224213","192.168.2.22","52.1.111.67","TCP","54","2168  >  443 [FIN, ACK] Seq=1 Ack=47 Win=256 Len=0"
"131","1.224797","52.1.111.67","192.168.2.22","TLSv1.2","85","Encrypted Alert"
"132","1.224797","52.1.111.67","192.168.2.22","TCP","60","443  >  2168 [FIN, ACK] Seq=78 Ack=1 Win=336 Len=0"
"133","1.224869","192.168.2.22","52.1.111.67","TCP","54","2168  >  443 [RST, ACK] Seq=2 Ack=78 Win=0 Len=0"
"134","1.314209","52.1.111.67","192.168.2.22","TCP","60","443  >  2168 [ACK] Seq=79 Ack=2 Win=336 Len=0"
"135","1.619554","192.168.2.22","104.18.32.47","TCP","55","2164  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP PDU reassembled in 420]"
"136","1.709181","104.18.32.47","192.168.2.22","TCP","66","443  >  2164 [ACK] Seq=1 Ack=2 Win=59 Len=0 SLE=1 SRE=2"
"137","1.958355","192.168.2.22","186.233.185.147","TCP","55","1726  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"138","2.024458","186.233.185.147","192.168.2.22","TCP","66","443  >  1726 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"139","2.201194","192.168.2.22","57.144.115.32","TLSv1.2","272","Application Data"
"140","2.205030","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=86621 Ack=33760 Win=2768 Len=0"
"141","2.295446","192.168.2.22","57.144.115.32","TLSv1.2","303","Application Data"
"142","2.299288","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=86621 Ack=34009 Win=2768 Len=0"
"143","2.302585","192.168.2.22","52.112.84.161","TLSv1.2","111","Application Data"
"144","2.332541","57.144.115.32","192.168.2.22","TLSv1.2","667","Application Data"
"145","2.378284","52.112.84.161","192.168.2.22","TLSv1.2","100","Application Data"
"146","2.386063","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=34009 Ack=87234 Win=258 Len=0"
"147","2.416547","192.168.2.22","52.112.84.161","TCP","54","1791  >  443 [ACK] Seq=58 Ack=47 Win=260 Len=0"
"148","2.423361","192.168.2.22","172.64.155.209","TCP","55","2148  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP PDU reassembled in 212]"
"149","2.428092","57.144.115.32","192.168.2.22","TLSv1.2","787","Application Data"
"150","2.478227","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=34009 Ack=87967 Win=255 Len=0"
"151","2.489580","192.168.2.22","10.3.0.20","TCP","66","2228  >  1688 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"152","2.490486","172.64.155.209","192.168.2.22","TCP","66","443  >  2148 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"153","2.650363","192.168.2.22","192.168.2.1","DNS","78","Standard query 0xfc66 A graph.whatsapp.net"
"154","2.650797","192.168.2.22","192.168.2.1","DNS","78","Standard query 0x194d HTTPS graph.whatsapp.net"
"155","2.654604","192.168.2.1","192.168.2.22","DNS","140","Standard query response 0xfc66 A graph.whatsapp.net CNAME static.whatsapp.net CNAME mmx-ds.cdn.whatsapp.net A 57.144.115.32"
"156","2.654604","192.168.2.1","192.168.2.22","DNS","169","Standard query response 0x194d HTTPS graph.whatsapp.net CNAME static.whatsapp.net CNAME mmx-ds.cdn.whatsapp.net SOA a.ns.whatsapp.net"
"157","2.655920","192.168.2.22","57.144.115.32","TCP","66","2229  >  443 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"158","2.660108","57.144.115.32","192.168.2.22","TCP","66","443  >  2229 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"159","2.660246","192.168.2.22","57.144.115.32","TCP","54","2229  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=0"
"160","2.661055","192.168.2.22","57.144.115.32","TCP","1446","2229  >  443 [ACK] Seq=1 Ack=1 Win=66816 Len=1392 [TCP PDU reassembled in 161]"
"161","2.661055","192.168.2.22","57.144.115.32","TLSv1.3","390","Client Hello (SNI=graph.whatsapp.net)"
"162","2.665121","57.144.115.32","192.168.2.22","TCP","60","443  >  2229 [ACK] Seq=1 Ack=1393 Win=68352 Len=0"
"163","2.665121","57.144.115.32","192.168.2.22","TCP","60","443  >  2229 [ACK] Seq=1 Ack=1729 Win=71168 Len=0"
"164","2.667132","57.144.115.32","192.168.2.22","TLSv1.3","1446","Server Hello, Change Cipher Spec, Application Data"
"165","2.667132","57.144.115.32","192.168.2.22","TLSv1.3","1446","Application Data"
"166","2.667132","57.144.115.32","192.168.2.22","TLSv1.3","209","Application Data"
"167","2.667220","192.168.2.22","57.144.115.32","TCP","54","2229  >  443 [ACK] Seq=1729 Ack=2940 Win=66816 Len=0"
"168","2.671550","192.168.2.22","57.144.115.32","TLSv1.3","118","Change Cipher Spec, Application Data"
"169","2.671875","192.168.2.22","57.144.115.32","TLSv1.3","146","Application Data"
"170","2.672662","192.168.2.22","57.144.115.32","TLSv1.3","526","Application Data"
"171","2.672810","192.168.2.22","57.144.115.32","TCP","1446","2229  >  443 [ACK] Seq=2357 Ack=2940 Win=66816 Len=1392 [TCP PDU reassembled in 173]"
"172","2.672810","192.168.2.22","57.144.115.32","TCP","1446","2229  >  443 [ACK] Seq=3749 Ack=2940 Win=66816 Len=1392 [TCP PDU reassembled in 173]"
"173","2.672810","192.168.2.22","57.144.115.32","TLSv1.3","904","Application Data"
"174","2.676167","57.144.115.32","192.168.2.22","TCP","60","443  >  2229 [ACK] Seq=2940 Ack=1885 Win=71168 Len=0"
"175","2.676167","57.144.115.32","192.168.2.22","TLSv1.3","225","Application Data"
"176","2.676167","57.144.115.32","192.168.2.22","TLSv1.3","128","Application Data"
"177","2.676167","57.144.115.32","192.168.2.22","TLSv1.3","85","Application Data"
"178","2.676268","192.168.2.22","57.144.115.32","TCP","54","2229  >  443 [ACK] Seq=5991 Ack=3216 Win=66304 Len=0"
"179","2.676694","192.168.2.22","57.144.115.32","TLSv1.3","85","Application Data"
"180","2.677666","57.144.115.32","192.168.2.22","TLSv1.3","89","Application Data"
"181","2.677666","57.144.115.32","192.168.2.22","TCP","60","443  >  2229 [ACK] Seq=3251 Ack=5991 Win=81408 Len=0"
"182","2.720307","57.144.115.32","192.168.2.22","TCP","60","443  >  2229 [ACK] Seq=3251 Ack=6022 Win=81408 Len=0"
"183","2.729830","192.168.2.22","57.144.115.32","TCP","54","2229  >  443 [ACK] Seq=6022 Ack=3251 Win=66304 Len=0"
"184","2.821681","57.144.115.32","192.168.2.22","TLSv1.3","451","Application Data"
"185","2.876266","192.168.2.22","57.144.115.32","TCP","54","2229  >  443 [ACK] Seq=6022 Ack=3648 Win=66048 Len=0"
"186","5.489337","192.168.2.22","10.3.0.20","TCP","66","[TCP Retransmission] 2228  >  1688 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"187","5.857563","00:ff:ff:cc:11:10","Broadcast","0xfffa","95","Ethernet II"
"188","5.898979","57.144.115.32","192.168.2.22","TLSv1.2","332","Application Data"
"189","5.949333","192.168.2.22","57.144.115.32","TCP","54","2198  >  443 [ACK] Seq=34009 Ack=88245 Win=261 Len=0"
"190","7.487909","192.168.2.1","239.255.255.250","IGMPv2","60","Membership Report group 239.255.255.250"
"191","7.553805","172.64.150.28","192.168.2.22","TLSv1.2","93","Application Data"
"192","7.554181","192.168.2.22","172.64.150.28","TCP","54","2156  >  443 [FIN, ACK] Seq=1 Ack=40 Win=254 Len=0"
"193","7.554628","172.64.150.28","192.168.2.22","TCP","60","443  >  2156 [FIN, ACK] Seq=40 Ack=1 Win=10 Len=0"
"194","7.554679","192.168.2.22","172.64.150.28","TCP","54","2156  >  443 [ACK] Seq=2 Ack=41 Win=254 Len=0"
"195","7.559642","172.64.150.28","192.168.2.22","TCP","60","443  >  2156 [ACK] Seq=41 Ack=2 Win=10 Len=0"
"196","7.748618","TpLinkPte_5d:b9:28","Broadcast","ARP","60","Who has 192.168.2.22? Tell 192.168.2.1"
"197","7.748649","HewlettPacka_22:6f:da","TpLinkPte_5d:b9:28","ARP","42","192.168.2.22 is at 70:5a:0f:22:6f:da"
"198","7.954303","192.168.2.10","224.0.0.251","MDNS","119","Standard query 0x000f PTR _674A0243._sub._googlecast._tcp.local, ""QM"" question PTR _8E6C866D._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"199","8.988571","192.168.2.22","57.144.115.32","TLSv1.2","126","Application Data"
"200","9.034067","57.144.115.32","192.168.2.22","TCP","60","443  >  2198 [ACK] Seq=88245 Ack=34081 Win=2768 Len=0"
"201","10.867486","00:ff:ff:cc:11:10","Broadcast","0xfffa","95","Ethernet II"
"202","11.489152","192.168.2.22","10.3.0.20","TCP","62","[TCP Retransmission] 2228  >  1688 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 SACK_PERM"
"203","12.026159","192.168.2.22","186.233.185.147","TCP","55","[TCP Keep-Alive] 1726  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1"
"204","12.092331","186.233.185.147","192.168.2.22","TCP","66","[TCP Keep-Alive ACK] 443  >  1726 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"205","13.544735","192.168.2.22","92.122.157.123","TCP","55","2212  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"206","13.548584","92.122.157.123","192.168.2.22","TCP","66","443  >  2212 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"207","14.446846","192.168.2.22","104.17.142.115","TLSv1.2","151","Application Data"
"208","14.446925","192.168.2.22","104.17.142.115","TLSv1.2","93","Application Data"
"209","14.596399","104.17.142.115","192.168.2.22","TCP","60","443  >  2165 [ACK] Seq=1 Ack=98 Win=10 Len=0"
"210","14.596399","104.17.142.115","192.168.2.22","TCP","60","443  >  2165 [ACK] Seq=1 Ack=137 Win=10 Len=0"
"211","14.596399","104.17.142.115","192.168.2.22","TLSv1.2","93","Application Data"
"212","14.597729","192.168.2.22","172.64.155.209","TLSv1.2","116","Ignored Unknown Record"
